:compileJava UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:jar UP-TO-DATE
:assemble UP-TO-DATE
:compileTestJava UP-TO-DATE
:processTestResources UP-TO-DATE
:testClasses UP-TO-DATE
:test UP-TO-DATE
:check UP-TO-DATE
:build UP-TO-DATE
:ofbiz  --start
Config.java using configuration file start.properties
Set OFBIZ_HOME to - /home/pradeep/Desktop/apache-ofbiz-17.12.05
Admin socket configured on - /127.0.0.1:10523
2021-04-24 16:55:20,741 |main                 |ContainerLoader               |I| [Startup] Loading containers...
2021-04-24 16:55:21,306 |main                 |ContainerLoader               |I| Loading container: component-container
2021-04-24 16:55:21,334 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/pradeep/Desktop/apache-ofbiz-17.12.05/framework]
2021-04-24 16:55:21,439 |main                 |ComponentContainer            |I| Added class path for component : [base]
2021-04-24 16:55:21,510 |main                 |ComponentContainer            |I| Added class path for component : [entity]
2021-04-24 16:55:21,588 |main                 |ComponentContainer            |I| Added class path for component : [security]
2021-04-24 16:55:21,658 |main                 |ComponentContainer            |I| Added class path for component : [datafile]
2021-04-24 16:55:21,699 |main                 |ComponentContainer            |I| Added class path for component : [minilang]
2021-04-24 16:55:21,758 |main                 |ComponentContainer            |I| Added class path for component : [common]
2021-04-24 16:55:21,806 |main                 |ComponentContainer            |I| Added class path for component : [service]
2021-04-24 16:55:21,865 |main                 |ComponentContainer            |I| Added class path for component : [catalina]
2021-04-24 16:55:21,909 |main                 |ComponentContainer            |I| Added class path for component : [entityext]
2021-04-24 16:55:21,962 |main                 |ComponentContainer            |I| Added class path for component : [webapp]
2021-04-24 16:55:22,005 |main                 |ComponentContainer            |I| Added class path for component : [widget]
2021-04-24 16:55:22,077 |main                 |ComponentContainer            |I| Added class path for component : [testtools]
2021-04-24 16:55:22,120 |main                 |ComponentContainer            |I| Added class path for component : [webtools]
2021-04-24 16:55:22,123 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/pradeep/Desktop/apache-ofbiz-17.12.05/themes]
